Sr_no,Age,Gender,EmploymentStatus,Monthly Household Income,Household Size,Current Residential Area,Type of Residence,Current Residence Duration,Factors Influencing Residential Choice,Transportation Mode,Average Commute Time_1way,Distance traveled_1w,Average weekday trips per person,Travel Purpose,Factors influencing transportation choice
255,26-35 Years ,Male ,Employed Full-Time,"₹30,001 - ₹50,000 ",4,Developed,Independent House ,3-5 Years ,"Proximity to workplace , Housing affordability , Neighborhood safety , Availability of amenities (markets, parks, etc.), Environmental quality (air quality, noise levels) ",Personal Vehicle (Car) ,15-30 minutes,10-15 km ,2-3 trips ,Work,"Cost , Travel time, Availability of Parking , Safety , Going to multiple locations in same trip"
256,36-45 Years ,Female ,Homemaker,"₹50,001 - ₹75,000 ",7,Developed,Apartment/ flat ,More than 10 years ,"Access to public transportation , Quality of schools/educational institutions , Neighborhood safety , Proximity to family/friends , Availability of amenities (markets, parks, etc.)",Personal Vehicle (Bike),Less than 10 minutes ,1-5 km ,2-3 trips ,Shopping ,"Travel time, Going to multiple locations in same trip"
257,26-35 Years ,Male ,Unemployed,"Below ₹15,000  ",6,Developed,Apartment/ flat ,3-5 Years ,"Proximity to workplace , Housing affordability , Neighborhood safety , Proximity to family/friends , Availability of amenities (markets, parks, etc.)",Personal Vehicle (Car) ,Less than 10 minutes ,More than 15 km,4-5 trips ,Work,"Cost , Travel time, Convenience , Availability of options, Unavailability of Public Transport , Environmental impact , Availability of Parking , Safety , Going to multiple locations in same trip"
258,26-35 Years ,Male ,Business ,"₹50,001 - ₹75,000 ",5,Developed,Independent House ,5-10 Years ,"Proximity to workplace , Housing affordability , Quality of schools/educational institutions ",Personal Vehicle (Bike),10-15 minutes ,1-5 km ,1-2 trips ,Work,"Travel time, Convenience , Safety "
259,46-55 Years ,Male ,Business ,"Above ₹75,000 ",5,Developed,Independent House ,5-10 Years ,"Proximity to workplace , Access to public transportation , Quality of schools/educational institutions ",Personal Vehicle (Bike),Less than 10 minutes ,1-5 km ,2-3 trips ,Work,"Travel time, Convenience , Availability of options"
260,18-25 Years ,Male ,Student ,"Above ₹75,000 ",4,Developed,Independent House ,3-5 Years ,"Proximity to workplace , Housing affordability , Access to public transportation , Quality of schools/educational institutions , Neighborhood safety , Proximity to family/friends , Availability of amenities (markets, parks, etc.), Environmental quality (air quality, noise levels) ",Personal Vehicle (Bike),10-15 minutes ,5-10 km,2-3 trips ,Work,"Cost , Travel time, Convenience , Availability of options, Unavailability of Public Transport , Environmental impact , Availability of Parking , Safety , Going to multiple locations in same trip"
261,26-35 Years ,Female ,Student ,"Above ₹75,000 ",5,Developed,Apartment/ flat ,More than 10 years ,"Housing affordability , Access to public transportation , Quality of schools/educational institutions , Proximity to family/friends , Availability of amenities (markets, parks, etc.)",Personal Vehicle (Bike),15-30 minutes,5-10 km,4-5 trips ,Education,"Availability of options, Unavailability of Public Transport , Environmental impact , Availability of Parking "
262,18-25 Years ,Male ,Student ,"₹50,001 - ₹75,000 ",5,Developed,Apartment/ flat ,3-5 Years ,"Proximity to workplace , Quality of schools/educational institutions ",Personal Vehicle (Bike),Less than 10 minutes ,1-5 km ,2-3 trips ,Education,"Travel time, Convenience "
263,36-45 Years ,Male ,Employed Full-Time,"₹50,001 - ₹75,000 ",3,Developed,Apartment/ flat ,5-10 Years ,"Proximity to workplace , Housing affordability ",Personal Vehicle (Bike),Less than 10 minutes ,1-5 km ,1-2 trips ,Work,"Travel time, Convenience , Safety "
264,26-35 Years ,Female ,Student ,"Above ₹75,000 ",3,Developed,Row House ,More than 10 years ,"Housing affordability , Access to public transportation , Quality of schools/educational institutions , Neighborhood safety , Proximity to family/friends ",Personal Vehicle (Car) ,30-45 minutes,10-15 km ,2-3 trips ,Health,"Travel time, Availability of options, Unavailability of Public Transport , Environmental impact , Safety "
265,18-25 Years ,Male ,Student ,"Below ₹15,000  ",4,Developed,Apartment/ flat ,More than 10 years ,"Proximity to workplace , Housing affordability , Access to public transportation , Neighborhood safety , Availability of amenities (markets, parks, etc.), Environmental quality (air quality, noise levels) ",Personal Vehicle (Bike),15-30 minutes,5-10 km,2-3 trips ,Work,"Cost , Travel time, Convenience , Availability of options, Unavailability of Public Transport , Safety "
266,36-45 Years ,Male ,Employed Full-Time,"₹30,001 - ₹50,000 ",5,Developed,Independent House ,5-10 Years ,"Proximity to workplace , Housing affordability , Quality of schools/educational institutions , Proximity to family/friends , Availability of amenities (markets, parks, etc.)",Personal Vehicle (Car) ,15-30 minutes,More than 15 km,2-3 trips ,Work,"Cost , Travel time, Convenience , Availability of Parking , Safety "
267,36-45 Years ,Female ,Employed Full-Time,"₹30,001 - ₹50,000 ",5,Developed,Independent House ,5-10 Years ,"Proximity to workplace , Housing affordability , Quality of schools/educational institutions , Neighborhood safety , Proximity to family/friends , Availability of amenities (markets, parks, etc.)",Personal Vehicle (Bike),15-30 minutes,More than 15 km,2-3 trips ,Work,"Cost , Convenience , Availability of Parking , Safety "
268,18-25 Years ,Female ,Student ,"Above ₹75,000 ",4,Developed,Apartment/ flat ,1-3 Years ,"Proximity to workplace , Housing affordability , Quality of schools/educational institutions , Neighborhood safety , Availability of amenities (markets, parks, etc.), Environmental quality (air quality, noise levels) ",Autorickshaw/ Cab ,15-30 minutes,5-10 km,2-3 trips ,Education,"Cost , Travel time, Convenience , Unavailability of Public Transport , Environmental impact , Safety , Going to multiple locations in same trip"
269,18-25 Years ,Female ,Student ,"₹15,000 - ₹30,000",4,Developed,Apartment/ flat ,More than 10 years ,"Proximity to workplace , Housing affordability , Access to public transportation , Quality of schools/educational institutions , Neighborhood safety , Availability of amenities (markets, parks, etc.)",Public Transit (City Bus) ,10-15 minutes ,1-5 km ,6 or more trips ,Education,"Cost , Travel time, Convenience , Safety "
270,26-35 Years ,Female ,Student ,"Above ₹75,000 ",5,Developed,Independent House ,More than 10 years ,"Proximity to workplace , Housing affordability , Access to public transportation , Quality of schools/educational institutions , Neighborhood safety ",Personal Vehicle (Car) ,15-30 minutes,10-15 km ,4-5 trips ,Work,"Cost , Travel time, Convenience , Availability of options"
271,26-35 Years ,Female ,Student ,"Above ₹75,000 ",6,Developed,Independent House ,More than 10 years ,"Proximity to workplace , Housing affordability , Access to public transportation , Quality of schools/educational institutions ",Personal Vehicle (Car) ,15-30 minutes,10-15 km ,4-5 trips ,Education,"Cost , Travel time, Convenience , Availability of options, Unavailability of Public Transport "
272,26-35 Years ,Female ,Student ,"Above ₹75,000 ",3,Developed,Row House ,5-10 Years ,"Proximity to workplace , Housing affordability , Access to public transportation , Quality of schools/educational institutions , Neighborhood safety ",Personal Vehicle (Car) ,15-30 minutes,10-15 km ,4-5 trips ,Education,"Cost , Travel time, Convenience , Availability of options, Unavailability of Public Transport , Environmental impact , Availability of Parking , Safety "
273,56-65 Years ,Female ,Homemaker,"Above ₹75,000 ",6,Developed,Independent House ,5-10 Years ,"Proximity to workplace , Housing affordability , Access to public transportation , Quality of schools/educational institutions ",Personal Vehicle (Car) ,15-30 minutes,10-15 km ,4-5 trips ,Leisure ,"Cost , Travel time, Convenience , Availability of options, Unavailability of Public Transport "
274,18-25 Years ,Male ,Student ,"Above ₹75,000 ",5,Developed,Independent House ,More than 10 years ,"Housing affordability , Access to public transportation , Quality of schools/educational institutions , Neighborhood safety ",Personal Vehicle (Car) ,30-45 minutes,10-15 km ,4-5 trips ,Education,"Travel time, Convenience , Availability of options, Unavailability of Public Transport , Availability of Parking , Safety "
275,36-45 Years ,Female ,Employed Part-Time ,"Above ₹75,000 ",5,Developed,Independent House ,More than 10 years ,"Housing affordability , Access to public transportation , Quality of schools/educational institutions , Neighborhood safety , Proximity to family/friends ",Personal Vehicle (Bike),30-45 minutes,10-15 km ,4-5 trips ,Work,"Travel time, Convenience , Availability of options, Unavailability of Public Transport , Availability of Parking "
276,26-35 Years ,Female ,Student ,"₹50,001 - ₹75,000 ",4,Developed,Row House ,More than 10 years ,"Proximity to workplace , Housing affordability , Access to public transportation , Quality of schools/educational institutions ",Personal Vehicle (Car) ,30-45 minutes,10-15 km ,6 or more trips ,Education,"Cost , Travel time, Convenience , Availability of options, Unavailability of Public Transport "
277,26-35 Years ,Female ,Student ,"₹30,001 - ₹50,000 ",4,Developed,Independent House ,More than 10 years ,Quality of schools/educational institutions ,Public Transit (City Bus) ,30-45 minutes,10-15 km ,4-5 trips ,Education,"Cost , Travel time, Convenience , Availability of options, Unavailability of Public Transport "
278,26-35 Years ,Female ,Student ,"Above ₹75,000 ",4,Developed,Independent House ,More than 10 years ,"Proximity to workplace , Housing affordability , Access to public transportation , Quality of schools/educational institutions , Neighborhood safety ",Personal Vehicle (Car) ,15-30 minutes,10-15 km ,4-5 trips ,Shopping ,"Cost , Travel time, Convenience , Availability of options, Unavailability of Public Transport "
279,26-35 Years ,Female ,Student ,"₹50,001 - ₹75,000 ",5,Developed,Row House ,5-10 Years ,"Proximity to workplace , Housing affordability , Access to public transportation , Quality of schools/educational institutions , Neighborhood safety ",Personal Vehicle (Car) ,30-45 minutes,10-15 km ,4-5 trips ,Shopping ,"Travel time, Convenience "
280,26-35 Years ,Female ,Homemaker,"Above ₹75,000 ",6,Developed,Row House ,More than 10 years ,"Proximity to workplace , Housing affordability , Access to public transportation , Quality of schools/educational institutions , Availability of amenities (markets, parks, etc.)",Personal Vehicle (Car) ,30-45 minutes,10-15 km ,4-5 trips ,Shopping ,"Convenience , Availability of options, Unavailability of Public Transport , Going to multiple locations in same trip"
281,26-35 Years ,Female ,Student ,"Above ₹75,000 ",5,Developed,Row House ,More than 10 years ,"Housing affordability , Access to public transportation , Quality of schools/educational institutions , Availability of amenities (markets, parks, etc.)",Personal Vehicle (Car) ,30-45 minutes,More than 15 km,4-5 trips ,Shopping ,"Convenience , Going to multiple locations in same trip"
282,26-35 Years ,Female ,Business ,"₹50,001 - ₹75,000 ",4,Developed,Row House ,More than 10 years ,"Proximity to workplace , Housing affordability , Access to public transportation , Quality of schools/educational institutions , Neighborhood safety , Proximity to family/friends ",Personal Vehicle (Car) ,30-45 minutes,More than 15 km,4-5 trips ,Education,"Cost , Travel time, Availability of options, Environmental impact "
283,36-45 Years ,Male ,Employed Full-Time,"Above ₹75,000 ",4,Developed,Apartment/ flat ,5-10 Years ,"Proximity to workplace , Housing affordability , Access to public transportation , Quality of schools/educational institutions ",Personal Vehicle (Car) ,30-45 minutes,10-15 km ,2-3 trips ,Work,"Cost , Travel time, Convenience "
284,26-35 Years ,Female ,Student ,"Above ₹75,000 ",5,Developed,Apartment/ flat ,More than 10 years ,"Proximity to workplace , Housing affordability ",Personal Vehicle (Car) ,30-45 minutes,10-15 km ,6 or more trips ,Education,"Cost , Travel time, Convenience , Availability of options"
285,26-35 Years ,Female ,Business ,"₹50,001 - ₹75,000 ",3,Developed,Apartment/ flat ,3-5 Years ,"Proximity to workplace , Housing affordability , Access to public transportation , Quality of schools/educational institutions ",Personal Vehicle (Car) ,15-30 minutes,10-15 km ,4-5 trips ,Work,"Cost , Travel time, Convenience , Availability of options, Safety "
286,26-35 Years ,Female ,Student ,"Above ₹75,000 ",5,Developed,Row House ,More than 10 years ,"Proximity to workplace , Housing affordability , Access to public transportation , Quality of schools/educational institutions ",Personal Vehicle (Car) ,30-45 minutes,10-15 km ,6 or more trips ,Education,"Cost , Travel time, Convenience , Availability of options"
287,26-35 Years ,Female ,Student ,"Above ₹75,000 ",5,Developed,Row House ,More than 10 years ,"Proximity to workplace , Housing affordability , Access to public transportation , Quality of schools/educational institutions ",Personal Vehicle (Car) ,More than 45 minutes ,More than 15 km,6 or more trips ,Education,"Cost , Travel time, Convenience , Availability of options, Environmental impact , Availability of Parking , Safety , Going to multiple locations in same trip"
288,26-35 Years ,Female ,Student ,"Above ₹75,000 ",7,Developed,Row House ,More than 10 years ,"Proximity to workplace , Housing affordability , Access to public transportation , Quality of schools/educational institutions ",Personal Vehicle (Car) ,More than 45 minutes ,10-15 km ,6 or more trips ,Education,"Cost , Travel time, Convenience , Availability of options, Going to multiple locations in same trip"
289,36-45 Years ,Male ,Employed Full-Time,"₹50,001 - ₹75,000 ",4,Developed,Apartment/ flat ,5-10 Years ,"Proximity to workplace , Housing affordability , Access to public transportation , Quality of schools/educational institutions ",Personal Vehicle (Car) ,15-30 minutes,10-15 km ,2-3 trips ,Work,"Cost , Travel time, Convenience , Availability of options"
290,36-45 Years ,Female ,Student ,"Above ₹75,000 ",6,Developed,Independent House ,More than 10 years ,"Proximity to workplace , Housing affordability , Access to public transportation , Quality of schools/educational institutions , Neighborhood safety ",Personal Vehicle (Car) ,30-45 minutes,More than 15 km,6 or more trips ,Education,"Cost , Travel time, Convenience , Availability of options"
291,26-35 Years ,Female ,Student ,"Above ₹75,000 ",5,Developed,Row House ,More than 10 years ,"Proximity to workplace , Housing affordability , Access to public transportation , Quality of schools/educational institutions , Availability of amenities (markets, parks, etc.)",Personal Vehicle (Car) ,More than 45 minutes ,More than 15 km,6 or more trips ,Education,"Cost , Travel time, Convenience , Availability of options, Unavailability of Public Transport "
292,46-55 Years ,Male ,Employed Full-Time,"₹50,001 - ₹75,000 ",5,Developed,Row House ,5-10 Years ,"Proximity to workplace , Housing affordability , Access to public transportation , Quality of schools/educational institutions , Neighborhood safety ",Personal Vehicle (Car) ,15-30 minutes,10-15 km ,2-3 trips ,Work,"Cost , Travel time, Convenience , Availability of options"
293,26-35 Years ,Male ,Student ,"Above ₹75,000 ",4,Developed,Row House ,More than 10 years ,"Proximity to workplace , Housing affordability , Access to public transportation , Quality of schools/educational institutions , Neighborhood safety ",Personal Vehicle (Car) ,More than 45 minutes ,10-15 km ,6 or more trips ,Education,"Cost , Travel time, Convenience , Availability of options, Unavailability of Public Transport "
294,26-35 Years ,Female ,Student ,"Above ₹75,000 ",4,Developed,Row House ,More than 10 years ,"Proximity to workplace , Housing affordability , Access to public transportation , Quality of schools/educational institutions , Neighborhood safety ",Personal Vehicle (Car) ,30-45 minutes,10-15 km ,4-5 trips ,Work,"Cost , Travel time, Convenience , Availability of options"
295,46-55 Years ,Male ,Business ,"Above ₹75,000 ",6,Developed,Row House ,More than 10 years ,"Proximity to workplace , Housing affordability , Access to public transportation , Quality of schools/educational institutions , Neighborhood safety ",Personal Vehicle (Car) ,More than 45 minutes ,More than 15 km,4-5 trips ,Work,"Cost , Travel time, Convenience , Availability of options"
296,36-45 Years ,Female ,Student ,"Above ₹75,000 ",5,Developed,Row House ,5-10 Years ,"Proximity to workplace , Housing affordability , Access to public transportation , Quality of schools/educational institutions , Neighborhood safety , Proximity to family/friends ",Personal Vehicle (Car) ,30-45 minutes,More than 15 km,6 or more trips ,Education,"Cost , Travel time, Convenience , Availability of options, Unavailability of Public Transport "
297,26-35 Years ,Female ,Student ,"Above ₹75,000 ",5,Developed,Apartment/ flat ,More than 10 years ,"Proximity to workplace , Housing affordability , Access to public transportation , Quality of schools/educational institutions , Neighborhood safety , Proximity to family/friends ",Public Transit (City Bus) ,More than 45 minutes ,10-15 km ,4-5 trips ,Work,"Cost , Travel time, Convenience , Availability of options, Unavailability of Public Transport "
298,26-35 Years ,Female ,Student ,"Above ₹75,000 ",5,Developed,Row House ,More than 10 years ,"Proximity to workplace , Housing affordability , Access to public transportation , Quality of schools/educational institutions , Neighborhood safety ",Personal Vehicle (Car) ,More than 45 minutes ,More than 15 km,6 or more trips ,Education,"Cost , Travel time, Convenience , Availability of options, Unavailability of Public Transport "
299,36-45 Years ,Male ,Employed Full-Time,"₹50,001 - ₹75,000 ",4,Developed,Apartment/ flat ,5-10 Years ,"Proximity to workplace , Housing affordability , Access to public transportation , Quality of schools/educational institutions , Neighborhood safety ",Personal Vehicle (Car) ,30-45 minutes,10-15 km ,4-5 trips ,Work,"Cost , Travel time, Convenience , Availability of options, Safety "
300,26-35 Years ,Female ,Student ,"Above ₹75,000 ",4,Developed,Row House ,More than 10 years ,"Proximity to workplace , Housing affordability , Access to public transportation , Quality of schools/educational institutions ",Personal Vehicle (Car) ,30-45 minutes,10-15 km ,4-5 trips ,Education,"Cost , Travel time, Convenience , Availability of options, Unavailability of Public Transport "
301,46-55 Years ,Male ,Employed Full-Time,"Above ₹75,000 ",3,Developed,Apartment/ flat ,More than 10 years ,"Proximity to workplace , Housing affordability , Access to public transportation , Quality of schools/educational institutions ",Personal Vehicle (Car) ,15-30 minutes,10-15 km ,2-3 trips ,Leisure ,"Cost , Travel time, Convenience , Availability of options, Unavailability of Public Transport , Safety "
302,56-65 Years ,Male ,Business ,"Above ₹75,000 ",4,Developed,Independent House ,More than 10 years ,"Proximity to workplace , Housing affordability , Access to public transportation , Neighborhood safety , Proximity to family/friends ",Personal Vehicle (Car) ,30-45 minutes,10-15 km ,4-5 trips ,Work,"Cost , Travel time, Convenience , Availability of options"
303,46-55 Years ,Male ,Business ,"Above ₹75,000 ",4,Developed,Independent House ,5-10 Years ,"Proximity to workplace , Housing affordability , Access to public transportation , Neighborhood safety , Proximity to family/friends ",Personal Vehicle (Car) ,30-45 minutes,10-15 km ,4-5 trips ,Work,"Cost , Travel time, Convenience , Availability of options, Safety "
304,36-45 Years ,Male ,Employed Full-Time,"Above ₹75,000 ",4,Developed,Row House ,More than 10 years ,"Proximity to workplace , Access to public transportation , Neighborhood safety ",Personal Vehicle (Car) ,15-30 minutes,5-10 km,2-3 trips ,Work,"Cost , Travel time, Convenience , Safety "
305,36-45 Years ,Female ,Homemaker,"₹50,001 - ₹75,000 ",4,Developed,Row House ,5-10 Years ,"Proximity to workplace , Access to public transportation , Quality of schools/educational institutions , Neighborhood safety , Availability of amenities (markets, parks, etc.)",Walking,Less than 10 minutes ,1-5 km ,1-2 trips ,Work,"Cost , Travel time, Convenience "
306,36-45 Years ,Female ,Employed Full-Time,"Above ₹75,000 ",6,Developed,Independent House ,5-10 Years ,"Proximity to workplace , Neighborhood safety , Availability of amenities (markets, parks, etc.)",Personal Vehicle (Car) ,15-30 minutes,5-10 km,2-3 trips ,Work,"Cost , Travel time, Convenience "
307,46-55 Years ,Male ,Employed Full-Time,"Above ₹75,000 ",5,Developed,Row House ,More than 10 years ,"Proximity to workplace , Access to public transportation , Quality of schools/educational institutions ",Personal Vehicle (Car) ,15-30 minutes,5-10 km,2-3 trips ,Work,"Cost , Travel time, Safety "
308,18-25 Years ,Male ,Student ,"Above ₹75,000 ",4,Developed,Row House ,5-10 Years ,"Housing affordability , Access to public transportation , Quality of schools/educational institutions , Neighborhood safety ",Cycle  ,10-15 minutes ,1-5 km ,2-3 trips ,Work,"Cost , Travel time, Convenience , Safety "
309,26-35 Years ,Male ,Employed Full-Time,"₹50,001 - ₹75,000 ",4,Developed,Independent House ,5-10 Years ,"Proximity to workplace , Neighborhood safety , Availability of amenities (markets, parks, etc.)",Personal Vehicle (Car) ,15-30 minutes,5-10 km,2-3 trips ,Work,"Cost , Travel time, Convenience , Availability of options, Safety "
310,56-65 Years ,Male ,Retired ,"Above ₹75,000 ",4,Developed,Apartment/ flat ,More than 10 years ,"Housing affordability , Quality of schools/educational institutions , Neighborhood safety , Availability of amenities (markets, parks, etc.), Environmental quality (air quality, noise levels) ",Walking,Less than 10 minutes ,1-5 km ,1-2 trips ,Work,"Cost , Travel time, Convenience , Safety , Going to multiple locations in same trip"
311,26-35 Years ,Male ,Employed Full-Time,"Above ₹75,000 ",5,Developed,Independent House ,3-5 Years ,"Proximity to workplace , Access to public transportation , Availability of amenities (markets, parks, etc.)",Personal Vehicle (Car) ,15-30 minutes,5-10 km,2-3 trips ,Work,"Cost , Travel time, Convenience , Safety "
312,36-45 Years ,Male ,Business ,"Above ₹75,000 ",4,Developed,Row House ,5-10 Years ,"Proximity to workplace , Quality of schools/educational institutions , Availability of amenities (markets, parks, etc.)",Personal Vehicle (Car) ,15-30 minutes,5-10 km,4-5 trips ,Work,"Cost , Travel time, Convenience , Availability of options, Safety "
313,46-55 Years ,Female ,Homemaker,"Above ₹75,000 ",4,Developed,Apartment/ flat ,5-10 Years ,"Neighborhood safety , Proximity to family/friends , Availability of amenities (markets, parks, etc.)",Walking,Less than 10 minutes ,1-5 km ,1-2 trips ,Work,"Cost , Travel time, Convenience , Safety , Going to multiple locations in same trip"
314,18-25 Years ,Male ,Employed Full-Time,"₹50,001 - ₹75,000 ",3,Developed,Row House ,5-10 Years ,"Proximity to workplace , Housing affordability , Availability of amenities (markets, parks, etc.)",Personal Vehicle (Bike),15-30 minutes,5-10 km,2-3 trips ,Work,"Cost , Travel time, Convenience , Safety , Going to multiple locations in same trip"
315,46-55 Years ,Male ,Employed Full-Time,"Above ₹75,000 ",4,Developed,Independent House ,5-10 Years ,"Proximity to workplace , Housing affordability , Neighborhood safety ",Personal Vehicle (Car) ,15-30 minutes,5-10 km,2-3 trips ,Work,"Cost , Travel time, Convenience , Safety , Going to multiple locations in same trip"
316,36-45 Years ,Male ,Employed Full-Time,"Above ₹75,000 ",4,Developed,Independent House ,5-10 Years ,"Proximity to workplace , Housing affordability , Quality of schools/educational institutions ",Personal Vehicle (Car) ,15-30 minutes,5-10 km,2-3 trips ,Work,"Cost , Travel time, Convenience , Safety , Going to multiple locations in same trip"
317,18-25 Years ,Female ,Student ,"Above ₹75,000 ",4,Fringe,Independent House ,5-10 Years ,"Environmental quality (air quality, noise levels) ",Personal Vehicle (Car) ,15-30 minutes,More than 15 km,4-5 trips ,Education,Convenience 
318,26-35 Years ,Male ,Employed Full-Time,"₹50,001 - ₹75,000 ",4,Fringe,Apartment/ flat ,1-3 Years ,"Proximity to workplace , Housing affordability , Quality of schools/educational institutions , Neighborhood safety , Availability of amenities (markets, parks, etc.)",Personal Vehicle (Car) ,10-15 minutes ,10-15 km ,2-3 trips ,Work,"Cost , Convenience , Availability of options, Availability of Parking , Safety "
319,26-35 Years ,Female ,Student ,"₹30,001 - ₹50,000 ",5,Fringe,Independent House ,More than 10 years ,Proximity to family/friends ,Walking,10-15 minutes ,1-5 km ,2-3 trips ,Education,Travel time
320,26-35 Years ,Female ,Student ,"₹50,001 - ₹75,000 ",5,Fringe,Independent House ,More than 10 years ,"Proximity to workplace , Access to public transportation , Neighborhood safety , Proximity to family/friends , Availability of amenities (markets, parks, etc.), Environmental quality (air quality, noise levels) ",Personal Vehicle (Bike),10-15 minutes ,1-5 km ,6 or more trips ,Shopping ,"Cost , Travel time, Convenience , Availability of options, Unavailability of Public Transport , Environmental impact , Availability of Parking , Safety , Going to multiple locations in same trip"
321,26-35 Years ,Female ,Student ,"Below ₹15,000  ",7,Fringe,Independent House ,3-5 Years ,Quality of schools/educational institutions ,Personal Vehicle (Bike),Less than 10 minutes ,1-5 km ,1-2 trips ,Education,"Cost , Travel time, Convenience "
322,36-45 Years ,Male ,Business ,"Above ₹75,000 ",8,Fringe,Apartment/ flat ,More than 10 years ,"Housing affordability , Proximity to family/friends ",Personal Vehicle (Car) ,30-45 minutes,10-15 km ,2-3 trips ,Work,"Cost , Travel time, Convenience , Availability of options, Unavailability of Public Transport "
323,26-35 Years ,Female ,Student ,"₹50,001 - ₹75,000 ",7,Fringe,Apartment/ flat ,5-10 Years ,"Proximity to workplace , Housing affordability , Environmental quality (air quality, noise levels) ",Walking,10-15 minutes ,1-5 km ,2-3 trips ,Shopping ,"Cost , Travel time, Convenience , Going to multiple locations in same trip"
324,26-35 Years ,Female ,Homemaker,"₹15,000 - ₹30,000",4,Fringe,Apartment/ flat ,More than 10 years ,"Proximity to workplace , Housing affordability , Access to public transportation , Neighborhood safety , Availability of amenities (markets, parks, etc.)",Personal Vehicle (Bike),10-15 minutes ,10-15 km ,2-3 trips ,Shopping ,"Cost , Travel time, Convenience , Availability of options, Unavailability of Public Transport "
325,26-35 Years ,Female ,Student ,"₹50,001 - ₹75,000 ",3,Fringe,Apartment/ flat ,More than 10 years ,"Proximity to workplace , Housing affordability , Access to public transportation , Quality of schools/educational institutions , Neighborhood safety , Proximity to family/friends , Availability of amenities (markets, parks, etc.), Environmental quality (air quality, noise levels) ",Personal Vehicle (Bike),10-15 minutes ,1-5 km ,4-5 trips ,Work,"Cost , Travel time, Unavailability of Public Transport , Environmental impact , Availability of Parking , Safety , Going to multiple locations in same trip"
326,26-35 Years ,Female ,Student ,"₹50,001 - ₹75,000 ",6,Fringe,Apartment/ flat ,More than 10 years ,"Proximity to workplace , Housing affordability , Access to public transportation , Quality of schools/educational institutions , Neighborhood safety , Proximity to family/friends , Availability of amenities (markets, parks, etc.), Environmental quality (air quality, noise levels) ",Personal Vehicle (Bike),10-15 minutes ,5-10 km,4-5 trips ,Education,"Cost , Travel time, Convenience , Availability of options, Unavailability of Public Transport , Availability of Parking "
327,26-35 Years ,Female ,Student ,"₹50,001 - ₹75,000 ",3,Fringe,Apartment/ flat ,5-10 Years ,"Proximity to workplace , Housing affordability , Access to public transportation , Quality of schools/educational institutions , Neighborhood safety , Proximity to family/friends , Availability of amenities (markets, parks, etc.)",Personal Vehicle (Bike),10-15 minutes ,5-10 km,2-3 trips ,Education,"Availability of options, Unavailability of Public Transport , Environmental impact , Safety , Going to multiple locations in same trip"
328,26-35 Years ,Female ,Student ,"Above ₹75,000 ",3,Fringe,Apartment/ flat ,5-10 Years ,"Proximity to workplace , Housing affordability , Access to public transportation , Quality of schools/educational institutions ",Walking,15-30 minutes,10-15 km ,6 or more trips ,Education,"Cost , Travel time, Convenience , Availability of options, Unavailability of Public Transport "
329,36-45 Years ,Female ,Unemployed,"₹15,000 - ₹30,000",4,Fringe,Apartment/ flat ,3-5 Years ,"Proximity to workplace , Access to public transportation , Neighborhood safety , Availability of amenities (markets, parks, etc.), Environmental quality (air quality, noise levels) ",Personal Vehicle (Bike),10-15 minutes ,10-15 km ,2-3 trips ,Work,"Cost , Convenience , Unavailability of Public Transport , Availability of Parking , Going to multiple locations in same trip"
330,36-45 Years ,Male ,Employed Part-Time ,"₹15,000 - ₹30,000",6,Fringe,Independent House ,More than 10 years ,"Housing affordability , Access to public transportation , Neighborhood safety , Proximity to family/friends ",Personal Vehicle (Bike),10-15 minutes ,10-15 km ,4-5 trips ,Work,"Cost , Convenience , Availability of options, Unavailability of Public Transport "
331,46-55 Years ,Male ,Employed Part-Time ,"₹15,000 - ₹30,000",2,Fringe,Independent House ,5-10 Years ,Access to public transportation ,Public Transit (City Bus) ,15-30 minutes,10-15 km ,2-3 trips ,Work,"Cost , Travel time, Convenience , Safety "
332,46-55 Years ,Male ,Business ,"₹15,000 - ₹30,000",5,Fringe,Slum Area ,5-10 Years ,"Proximity to workplace , Quality of schools/educational institutions , Neighborhood safety , Proximity to family/friends , Availability of amenities (markets, parks, etc.)",Personal Vehicle (Bike),15-30 minutes,10-15 km ,2-3 trips ,Work,"Cost , Travel time, Convenience , Availability of Parking , Safety "
333,36-45 Years ,Male ,Employed Part-Time ,"₹15,000 - ₹30,000",5,Fringe,Slum Area ,5-10 Years ,"Proximity to workplace , Housing affordability , Proximity to family/friends , Availability of amenities (markets, parks, etc.), Environmental quality (air quality, noise levels) ",Personal Vehicle (Bike),15-30 minutes,10-15 km ,2-3 trips ,Work,"Cost , Travel time, Availability of Parking , Going to multiple locations in same trip"
334,36-45 Years ,Female ,Homemaker,"Below ₹15,000  ",6,Fringe,Independent House ,3-5 Years ,"Proximity to workplace , Access to public transportation , Neighborhood safety , Availability of amenities (markets, parks, etc.)",Walking,15-30 minutes,5-10 km,1-2 trips ,Work,"Cost , Convenience , Safety , Going to multiple locations in same trip"
335,56-65 Years ,Male ,Retired ,"₹30,001 - ₹50,000 ",5,Fringe,Independent House ,More than 10 years ,"Proximity to workplace , Housing affordability , Quality of schools/educational institutions ",Personal Vehicle (Car) ,15-30 minutes,5-10 km,1-2 trips ,Health,"Travel time, Convenience "
